Name,ratings,Number of ratings,catagory,address,open 24 hrs,link,comments
CARe Medical College & Hospital,3.5,224,Hospital,"1/5, Block-B, Mohammadpur Housing Estate, College Gate, Mirpur Rd",Yes,http://carehospitalbd.com/,
Royal Multispeciality Hospital,3.8,30,Hospital,"20, 3 Babar Rd",Yes,,"""Over all good service ."""
Al Biruni Hospital And Diagnostic Service,5,1,Hospital,3 Mirpur Rd,No,,
Rushmono Specialized Hospital,3.5,116,Private hospital,"Mogbazar Plaza, 209 Outer Circular Rd",Yes,http://www.rushmono.com/,"""Totally foul hospital."""
Mirpur General Hospital & Diagnostic Centre,4,22,Hospital,"Plot No-10, Road No. 4",Yes,,"""Really best clinic hospital"""
Khalekunnessa General Hospital,4.2,48,Private hospital,61 Becharam Dewri,Yes,,
Ahmed Medical Center Limited,3.8,58,Hospital,"71/1, Satmasjid Road, Sankar Bus Stand er Kache",Yes,,
The Barakah General Hospital Limited,3.7,128,General hospital,"No 2, Opposite, Police line Gate, 937 Outer Circular Rd",Yes,http://www.barakahospital.com/,"""A trusted hospital by many."""
Salauddin Specialized Hospital Ltd.,3.6,236,Hospital,"44/A, Hatkhola Rd",Yes,,"""Its more like Bangladesh Medical college & Hospital."""
Bumrungrad International Hospital Bangladesh,5,2,Hospital,154 Rd 11,Yes,https://www.bumrungradbangladesh.com/,
Dhaka Community Medical College and Hospital,4.2,251,Hospital,"190/1 Baro Moghbazar, Wireless Railgate Bara Moghbazar",Yes,http://dchtrust.org/,"""The Hospital is for the general peoples."""
Evercare Hospital Dhaka,4,"2,073",Hospital,"Plot 81, Block-E, Bashundhara Rd",Yes,https://www.evercarebd.com/dhaka/,"""The hospital has lots of experienced own doctors."""
Crescent Hospital Limited,3.7,27,Hospital,22/2 Mirpur Rd,Yes,,
Ark Hospital Limited,4,63,Hospital,"241/1 শাহ্‌কবির মাজার রোড Azampur, Dakkhin Khan, 220 Faidabad Main Rd",Yes,,"""Best hospital in this aria"""
Cure Medical Center,4.5,12,Hospital,16 Rd No 16 Dhaka 1212 Rd 16,No,,
KC Hospital & Diagnostic Center,3.6,87,Hospital,"2620, KC Plaza, Noapara, Shahid Latif Rd",Yes,,"""Largest hospital in Uttara, well equipped & qualified staff."""
Ad-Din Medical College Hospital,4,713,Private hospital,"2 Bara Maghbazar, Outer Circular Rd",Yes,,"""A well organised hospital in cheap price."""
Khidmah Hospital Pvt. Ltd.,3.9,404,Private hospital,"C-287/2-3, Bisswa Road",Yes,https://www.khidmahhospital.com/,"""This hospital has all kinds of medical facilities."""
Square Hospitals Ltd.,4.1,"2,099",Hospital,"18 Bir Uttam Qazi Nuruzzaman Sarak West, Panthapath",Yes,https://www.squarehospital.com/,On-site services
"International Centre for Diarrheal Disease Research, Bangladesh",4.6,394,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://www.icddrb.org/,"""I salute to the athurity of the hospital to keep it clean all around."""
ইনসাফ বারাকাহ কিডনি এন্ড জেনারেল হাসপাতাল,4.1,265,General hospital,11 শহীদ তাজউদ্দিন আহমেদ সরণি,Yes,http://insafbarakahospital.com/,"""Very good hospital and there are all Staff are really very good."""
Upasham Health Point-Pvt Ltd.,3.8,48,Hospital,"H-14, R-2/B, J Block, Baridhara, Vatara, Dhaka-1212 Dhaka",No,http://upashamdhaka.com/,"""A trustworthy privet hospital in nearest zones"""
Bangladesh Specialized Hospital,3.3,888,Private hospital,21 Mirpur Rd,Yes,http://www.bdspecializedhospital.com/,"""All types of facilities available in this hospital."""
Kurmitola General Hospital,4.4,"1,249",Government hospital,Tongi Diversion Rd,Yes,http://kgh.gov.bd/,"""A well accommodate building.Over all it is a good Hospital."""
"Pan Pacific Hospital,Training & Research Institute Ltd.",3.7,72,Hospital,"24, Outer Circular Road, Motijheel, PirJongi Mazer, Shajahanpur",Yes,,"""as economy hospital they doing good"""
Senior Citizen Hospital - Baridhara,4.5,37,Hospital,"Senior Citizen Hospital, House# 8, Road# 8, Baridhara Block# J Dhaka",Yes,http://seniorcitizenhospital.com/,"""Specialized hospital for all age people specially for old aged patients."""
Impulse Hospital,3.7,450,Hospital,304/E Shaheed Tazuddin Avenue,Yes,https://impulsehospital.com/,"""Hospital is a chamber for multiple doctors."""
Shaheed Suhrawardy Medical College and Hospital,4.2,"1,476",Government hospital,,Yes,http://www.shsmc.gov.bd/,"""All Kinds of patients get service from this hospital."""
Holy Family Red Crescent Medical College Hospital,4.1,561,Private hospital,1 Eskaton Garden Rd,Yes,http://www.hfrcmc.edu.bd/,"""At all it is a neaten clean Hospital."""
Monowara Orthopedic and General Hospital,3.8,53,Hospital,"35/7, 1 Kamalapur Rd",Yes,https://mogh.com.bd/,"""The interior of this hospital isn't good."""
Delta Medical Center Ltd,4.7,6,Medical Center,27 Road 01,No,,
Nibedita Shishu Hospital Limited,4.1,68,Children's hospital,"11, 1 Hare St",Yes,,"""The hospital is working to ensure medical care for children."""
Dr. MR Khan Shishu hospital & Institute of Child Health,4,249,Children's hospital,"6/2, Section-02",Yes,https://mrkich.org/,"""A specialized hospital for children."""
AMZ Hospital Ltd.,4.2,176,Hospital,·,Yes,http://www.amzhospitalbd.com/,"""They have advance facilities that I didn't see in other hospitals ."""
Combined Military Hospital (CMH),4.5,831,Military hospital,"R97X+QHJ, C.M.H In Road",Yes,https://www.army.mil.bd/,"""The hospital is well equipped."""
"Super Specialized Hospital, BSMMU",4.8,38,Specialized hospital,"P9RW+76P, Kazi Nazrul Islam Ave",Yes,http://www.bsmmu.edu.bd/,"""Best Hospital in Bangladesh"""
York Hospital,4.3,28,Hospital,"House no.12 &, 13 Rd 22, Block#K",Yes,,"""The hospital is good in cleanliness, professionalisms and service"""
Obstetrical & Gynaecological Society of Bangladesh Hospital,4.3,59,Hospital,R95J+7RR,Yes,http://www.ogsb.org/,"""The hospital environment was very nice."""
Medilink Hospital,4,14,Hospital,QCJG+7G8,Yes,,"""Poor service,not a good hospital"""
Dhaka Healthcare Systems Ltd.,4,2,Hospital,"House # 07 Road # 08 , Madani Avenue, baridhara j block Rd",Yes,,
Mugda Medical College and Hospital,4.1,"1,433",Government hospital,Hazi Kadam Ali Rd,Yes,http://www.mumc.gov.bd/,"""Very Big private hospital in Mugda Motijheel areas with all facilities."""
Trauma Center & AO Orthopaedic Hospital (Pvt.) Ltd.,3.9,159,Specialized hospital,"22, 8/A Mirpur Rd",Yes,http://www.traumacenter.com.bd/,"""Specialised hospital for orthopedics."""
উত্তরা ক্রিসেন্ট হাসপাতাল,3.4,298,Hospital,"House# 21, Road# 15, Rabindra Sarani",Yes,http://www.uchbd.com/,"""If you need any help about this Hospital read details below."""
Monowara Hospital Private Limited,3.9,237,Private hospital,54 Siddheswari Rd,Yes,https://www.monowarahospital.com.bd/,"""Independent hospital."""
LABAID Specialized Hospital,3.8,"1,130",Specialized hospital,"House- -1 and, 6, Road No. 4",Yes,http://www.labaidgroup.com/specialized,"""All round well hospital."""
Health and Hope Hospital,3.9,205,Hospital,"152/2/G Green Road, Panthapath",Yes,http://www.healthandhopebd.net/,"""I wish every man get a good hospitality theit."""
Bangabandhu Sheikh Mujib Medical University Hospital,4.4,"1,839",Government hospital,·,Yes,http://www.bsmmu.edu.bd/,"""Huge buildings all around the hospital with proper security system."""
BIHS General Hospital,4.1,315,Hospital,"125, 1 Darus Salam Rd",Yes,http://www.bihsh.org.bd/,"""clean hospital ... well managed hospital"""
Ar-Raha Hospital & Diagnostics Ltd.,4.2,46,Private hospital,"1230, Hajj Camp, Ashiyan City Rd",Yes,,"""Biggest Hospital in Ashkona."""
"International Health Centre Ltd, Kuril Biswha Road",3.7,19,Private hospital,RC9C+283,No,http://www.ihcmedicalbd.com/,
Harun Eye Foundation Hospital,4,247,Hospital,"on, House no 12/A Road No. 5, Mirpur Rd",No,http://www.hefhbd.com/,"""Well known eye hospital"""
Green Life Medical College Hospital,3.8,986,Private hospital,"MAK Khan Tower, 31 and 31/1 Bir Uttam Shafiullah Sarak, Green Rd",Yes,http://greenlife.edu.bd/,"""In fact This hospital provides good food to all."""
CPHD General Hospital Ltd.,4,2,General hospital,24 Shaheed Tajuddin Ahmed Ave,Yes,,
Dhaka Central International Medical College & Hospital (DCIMCH),3.9,339,Private hospital,"2, 1 Ring Rd",Yes,http://dcimch.com/,"""Very nice hospital and collage"""
Bangladesh Medical College Hospital,4.1,857,Private hospital,Rd No. 14A,Yes,http://www.bmc-bd.org/,"""One of the most expensive hospitals in the country."""
BRB Hospitals Limited,3.8,664,Hospital,77/A Panthapath,Yes,http://www.brbhospital.com/,"""Thirdly, the hospital's facilities are state-of-the-art and modern."""
Hospital,2.4,,Hospital,"Suite- DI, House No: 17/1, Shaptak Mahbuba Grandeur, Road No: 6, Dhanmondi R/A, Dhaka, ঢাকা",,,
"SHIP INTERNATIONAL HOSPITAL | Best Hospital in Uttara, Dhaka",4.4,34,Private hospital,Dhaka - Ashulia Hwy,Yes,https://shiphospitalbd.com/,"""... organised japanese structure and management operated hospital."""
Badda General Hospital Pvt. Ltd.,3.8,102,Hospital,"QCHG+MHV, 107/2, Uttar Badda, Progoti Sarani",Yes,,"""There was only one doctor in the hospital."""
Reneca Hospital,4.3,3,Hospital,4 Road No. 4A,,,"""Hospital is beside the highway
Lift available."""
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka-1212",4.1,396,Hospital,Shaheed Tajuddin Ahmed Ave,Yes,http://www.dncc-dch.gov.bd/,"""I liked the spacious hospital."""
Dhaka Mohanagar General Hospital,3.8,42,Hospital,PC74+J45,Yes,http://www.dhakasouthcity.gov.bd/,"""This hospital is small and medical facility is limited."""
Nanavati Max,2.8,,Hospital,"House #21, Bashati Horizon, Level 9, Block # C Rd No 17",,http://nanavatimaxcarebd.com/,
Siraj-Khaleda Memorial Cantonment Board General Hospital,3.8,121,Hospital,1206 Rd No. 04,Yes,http://www.siraj-khaledatrust.org/health/,"""This hospital is especially buildup for civilian and armed personnel."""
Surovi Meternity Hospital,3.5,2,Hospital,72 Zia Colony Road,Yes,,
Ashiyan Medical College Hospital,4,136,General hospital,RFP3+992,Yes,http://www.ashiyanhospital.com/,"""Ashiyan Medical College Hospital."""
Wari Golden Hospital & Diagnostic Center,4,3,Hospital,06 Wyer St,,https://hospital-2785.business.site/,
"Platinum Hospital Limited, Panthapath,Dhaka",4.6,10,Hospital,Panthapath,,,"""New Hospital, Good for low ans mid budget patients."""
Kingston Hospital,4,141,Private hospital,"House: 51-54, Road: 01 & 02, Block: D, Shahidbag, mirpur-12",Yes,http://www.kingstonhospital.com.bd/,"""All kind of Hospital service provide by them, well managed Hospital."""
Hospital,3.1,2,Hospital,01674-179400,,,
BACC Women’s & Children Hospital (Pvt.) Ltd.,1.7,9,Private hospital,69/R Panthapath,Yes,,
"Square Hospital Consultation & Diagnostic Center, Banani",3.8,11,Hospital,"Classic Tower (2nd Floor), House-1, Road-11, Block-F",No,,
"Health and Hope Hospital, Unit - 2",3.8,4,Hospital,"56/8, West, Panthapath",Yes,,"""Hospital location is very good but no parking arrangement."""
Bangladesh Community General Hospital,4.2,10,General hospital,Dhaka - Demra Highway,Yes,,
"AL HAJ ABDUS SOBHAN MEMORIAL IBRAHIM GENERAL HOSPITAL,BASUNDHARA",2.7,3,Hospital,"Plot : 97/A, B-l- R-05",,http://www.nhn-dab.org.bd/,
Euro-Bangla Heart Hospital,3.6,87,Heart hospital,"5/7, Lalmatia Girls College Rd",Yes,,"""The worst ever management I have ever seen in private hospitals!!!"""
Delta Hospital Ltd.,3.7,102,Hospital,2 Tolarbag 1st Ln,Yes,https://delta-hospital.com/,"""A well maintained hospital."""
Anuar Hospital,,,Hospital,P9WG+HCJ,,,
Universal Medical College Hospital Ltd.,3.8,313,University hospital,"74G/75, Pea-cock Square, New Airport Road",Yes,https://umchltd.com/,"""Universal Medical College and Hospital."""
LABAID GULSHAN,3.7,143,Private hospital,"House # 13/A(4th Floor, Road#35",No,http://labaidgroup.com/specialized,"""A very good medical center, hospital and laboratory."""
Stroke & Neuro Rehab Clinic | Senior Citizen Hospital,5,1,General hospital,"Stroke & Neuro Rehab Clinic, Piles Clinic, House# 8, Road# 8, Baridhara Block# J Dhaka",Yes,,
National Institute of Mental Health and Hospital,4.3,240,Government hospital,Q9C9+X74,Yes,https://nimh.gov.bd/,"""As usual like other government hospitals!"""
Sir Salimullah Medical College,4.2,"1,633",Government hospital,Mitford Rd,Yes,,"""This hospital has lots of trained medical officers and specialists."""
CCU CMH Dhaka,5,4,Hospital,"R97X+985, C.M.H,",,,
Shebika General Hospital & Diagnostic Center,2,4,Hospital,68/K Sonargaon Bhaban,,,
Sheba General Hospital & Diagnostic Center,3.7,6,Private hospital,"Q9F8+2J8, Khilji Rd",No,,
Dhaka Medical College Hospital,4.3,"1,929",Government hospital,Secretariat Rd,Yes,http://www.dmc.gov.bd/,"""People all over the country come to the hospital for treatment."""
Square Hospitals Limited | Corporate Office,5,2,Hospital,"48, Square Centre, Bir Uttam AK Khandakar Rd",No,,
বনানী মেডিকেল,5,1,Hospital,QCV3+HPR,,,
The Medical Center,3.9,11,Private hospital,"shatmasjid road (near kfc), CONSULTATION OF GASTROENTEROLOGY",Yes,,
ICU Specialized Hospital Ltd.,4.3,3,Hospital,9/A Nawab Katra Nimtoli Ln,,,
amiodoctor,,,Private hospital,"2, 1 Ring Rd",,,
Infertility Care & Research Centre Ltd (ICRC),4.1,110,Hospital,"Q998+6WC, রিং রোড",No,http://www.icrc-bd.org/,"""A private Hospital specially for the new born babies"""
Care Hospital & Diagnostic Center,3,3,Hospital,"PC6R+CG6, Kazlar Par Road",Yes,,
Cardiac Electrophysiology & Heart Failure Center,,,Heart hospital,"OPD L-5, Apollo Hospitals, Plot: 81, Block:E Dhaka Dhaka",No,https://heartfailureclinicdhaka.business.site/?utm_source=gmb&utm_medium=referral,
Baridhara physiotherapy center (B.G.H),5,2,Hospital,"Ka 51/1 Progoti Sharoni, Nadda, Dhaka, 1212, Bangladesh Dhaka",No,https://baridhara-physiotherapy-center-bgh.business.site/?utm_source=gmb&utm_medium=referral,
Dhaka Medical Care,4,2,Hospital,"69/B, 5th Floor, Monowara Plaza, Panthapath",Yes,,
yolk hospital limited,,,Hospital,QCW2+J5W,,,
Amar Hospital Ltd,3.4,46,Specialized hospital,"4/2, Daffodil Tower, Sobhanbag, 1207 Mirpur Rd",Yes,https://www.amar-hospital.com/,
MH Samorita Hospital & Medical College,4.1,200,Hospital,117 Love Rd,Yes,http://www.mhsamorita.edu.bd/,"""Hospital and medical college"""
Life & Care Hospital Ltd.,3.5,53,Hospital,"P9J5+67G, Sadarghat - Gabtoli Rd",Yes,http://www.lifeandcarehospitals.com/,"""Life and Care Hospital."""
ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD.,4.1,18,Hospital,"ZAINUL HAQUE SIKDER WOMEN'S MEDICAL COLLEGE & HOSPITAL (PVT.) LTD, House # 5 Rd 104",Yes,http://www.sikderhospital.net/,"""Neat & Clean hospital."""
বনানী ক্লিনিক লিমিটেড,4,39,Hospital,"Block-C, House # 116 Rd No-15",Yes,https://m.facebook.com/bananihospital/,"""Good care, treatments hospital."""
উত্তরা ক্রিসেন্ট হাসপাতাল,3.4,298,Hospital,"House# 21, Road# 15, Rabindra Sarani",Yes,http://www.uchbd.com/,"""The doctors, nurses, khalas, mamas and every staff was too cordial."""
Greenland Hospital Ltd.,4.1,27,Hospital,House # 112 Rd 13,Yes,http://general-hospital-uttara.business.site/,
Aichi Hospital Ltd.,3.8,227,Private hospital,"Plot- 35 & 37, Sector-08, আব্দুল্লাহপুর মহাসড়ক",Yes,,"""Almost all medical services can be found here. The quality of ..."""
Uttara Lake View Specialized Hospital (Pvt.) LTD.,3.8,30,Hospital,"House#34, 10B Rd # 5A",Yes,,"""For every service they provide and the interaction we have with our ..."""
Uttara Modern Hospital,3.9,10,Private hospital,"V99W+4Q5, Rabindra Sarani",Yes,https://umhlbd.business.site/,
Shin Shin Japan Hospital,3.4,81,Private hospital,17 Gareeb-e-Nawaz Ave,Yes,https://shinshinhospital.com/,"""Every person those taken serivce from this ..."""
RMC Hospital,2.8,84,Hospital,"House No, 19 Rd No 5",Yes,,
"Square Hospital Consultation & Diagnostic Center, Uttara",4.3,24,Hospital,"V9FW+PF8, Sonargaon Janapath",,,"""Excellent Center with All facilities..."""
Care Zone Hospital,3.6,19,Hospital,24 Gareeb-e-Nawaz Ave,Yes,,
Lubana General Hospital & Uttara Cardiac Center,3.5,249,General hospital,"House no 09, 40 Gareeb-e-Nawaz Ave",No,http://www.lubanahospital.com/,"""affordable care for all kind of patients"""
Nostrum Hospital,3,21,Hospital,"House building, 24 Alaol Ave",,https://www.facebook.com/Nostrum-Hospital-Diagnostic-center-741851929170463/,
Radical Hospitals Ltd.,3.9,58,Hospital,35 Shah Makhdum Ave,Yes,,
Hi-Care General Hospital Ltd.,3.1,165,General hospital,"House # 24 & 26, Rd N- 17, Lake Dr Rd",Yes,http://www.hicarebd.com/,
Millennium Orthopaedic Hospital,3.6,5,Hospital,House 41 Road-7,Yes,,
Jahan Ara Clinic Ltd.,3.9,53,Specialized hospital,"House 2 & 4, Rd No 1",Yes,http://www.jahanaraclinic.com/,
Delta Hospital Ltd.,4.8,4,Private hospital,"Plot-21, Sector-8, Abdullahpur, Eastern Side of Abdullahpur Bus Stand, Uttara",No,http://www.delta-hospital.com/,
"SHIP INTERNATIONAL HOSPITAL | Best Hospital in Uttara, Dhaka",4.4,34,Private hospital,Dhaka - Ashulia Hwy,Yes,https://shiphospitalbd.com/,"""Their entire ambiance is too patient-friendly, and all of the healthcare ..."""
Uttara Adhunik Medical College Hospital(BMSRI),3.9,625,Hospital,"H # 34, R # 4 Sonargaon Janapath",Yes,http://uamcedu.org/,"""Very good hospital for all."""
RMC HOSPITAL,,,Hospital,"House #19, Road #5",,,
Ahsania Mission Cancer and General Hospital - AMCGH,4.3,279,Hospital,"Plot-03 , Embankment Drive Way Sector-10 , Uttara Model Town",Yes,http://www.amcghbd.org/,
Uttara Hope Hospital & Diagnostic (Pvt) Ltd.,4.3,6,Hospital,"C, Plot 30, Rd No 6",No,,
Dhaka Eye Care Hospital,4.8,"4,232",Hospital,32 Rabindra Sarani,No,https://www.dhakaeyecarehospital.org/,"""Excellent service with appreciate"
Makka Eye Hospital,4.2,248,Hospital,"Plot No, 6 Rd No. 3",No,http://www.makkaeyehospitaluttara.com/,"""Today, this hospital has seven clinics equipped with modern chicaneries."""
Bgmea Medical Center,3.1,,Medical Center,"House-16/A, Road-16, Sector-4, Uttara",No,,
Haematology Hospital : Lab One Hospital Ltd. & Lab One Foundation,4.3,26,Hospital,House # 08 Rd -12,Yes,http://www.labone.org.bd/,"""Most of people like this hospital for urgent treatment."""
UTPS,3.9,60,Hospital,House 11 Road No 11,Yes,,
Diabari Health Center,4.8,6,Hospital,·,No,,
Urban Hospital,3.4,,Hospital,VCC3+GPJ,No,,
Jahan Ara Clinic Ltd,,,Hospital,"H 2 & 4 Rd 1 & Sec 1, Dhaka",,http://www.jahanaraclinic.com/,
Uttara Mother and Child Hospital limited,3.4,21,Private hospital,"Opposite of Shin shin japan Hospital, House 36 Gareeb-e-Nawaz Ave",Yes,,
Mohila O Sishu Hospital,3.3,12,Hospital,VCJ3+GF7,,,
"Bangladesh Diabetic Samity, Uttara Centre.",3.8,22,Hospital,House-2 Road-13,No,http://www.nhn-dab.org.bd/,"""Usually all patients are from Uttara area.in the context of Uttara area ..."""
Uttara Al-Asfraf General Hospital,3.8,9,Hospital,24 Gareeb-e-Nawaz Ave,Yes,,
Dhaka Specialized Hospital,4.8,13,Hospital,78 Gausul Azam Ave,Yes,http://www.dhakaspecializedhospital.com/,"""One of best hospital for orthopaedics and surgery treatment in uttara"""
Shaheed Monsur Ali Medical College and Hospital,4.1,235,Hospital,"House 26 &, 26A Road No. 10A",Yes,http://www.smamedicalcollege-bd.com/,"""Excellent Hospital, Doctors and all others very helpful."""
ইউটিপিএস রোকেয়া নিরাপদ ডেলিভারী ও স্বাস্থসেবাকেন্দ্,5,1,Hospital,"VC84+V2H, Rd No. 20/C",,,
Kuwait Bangladesh Friendship Govt. Hospital,4.1,315,Government hospital,319 Isakha Ave,Yes,,"""The hospital has 95 doctors and 113 nurses."""
LD Hospital & Daycare Centre Limited,5,1,Veterans hospital,"V99W+339, Rabindra Sarani",Yes,,
Lab One Foundation of Thalassemia & Hospital,5,2,Hospital,House 08 রোড নং. ১২,Yes,,
Samajik Hospital Site,,,Hospital,V9C9+4R8,,,
LABAID Diagnostic Uttara-02,4,51,Diagnostic center,19 Gareeb-e-Nawaz Ave,No,https://labaid.com.bd/en/diagnostic/labaid-diagnostic-uttara-02,"""There are some drug stores next to and below this"
Proposed Mercantile Bank Hospital,,,General hospital,"Plot#09, Road#4/B, Sector#15",,,
উত্তরা আল-আশরাফ জেনারেল হাসপাতাল,,,Hospital,36 Sonargaon Janapath,,,
LV Hospital,,,Hospital,"V9HV+CJH, Rd No 10B",,,
Medinova diagonostic center,,,Hospital,V9FX+P92,,,
Medical College For Women and Hospital,4,207,General hospital,"VC52+87V, Plot No 4 Road-8/9, Sector-1",Yes,http://www.medicalcollegeforwomen.edu.bd/,"""Good hospital but more morden."""
আরবান প্রাইমারী হেলথ কেয়ার সার্ভিসেস ডেলিভারী প্রজেক্ট,2.6,5,Hospital,VCC2+MQ2,Yes,,
LABAID Diagnostic Uttara-01,3.8,126,Diagnostic center,"House # 15, Road # 12 Service Rd",No,http://www.labaidgroup.com/diagnostic,
মহিলা ও শিশু হাসপাতাল,4.5,13,Hospital,VCJ3+GFW,Yes,,
uttarahospital,,,Hospital,House-34 Rd No 10B,,http://uttarahospital.com/,
ন্যাশনাল হেলথকেয়ার নেটওয়ার্ক (NHN),4.7,3,Hospital,Rajlakshmi Over Bridge,No,,
"Ibn Sina Diagnostic & Consultation Centre, Uttara",4.3,322,Diagnostic center,House#52 Gareeb-e-Nawaz Ave,No,http://www.ibnsinatrust.com/,""""
Dandy Specialized Physiotherapy Hospital Ltd.,5,1,Hospital,"Khan Tower, 51, Sonargaon Janapath",,,
Cardio Care Specialized and General Hospital,,,General hospital,"House no: 88, 38 Road Sonargaon Janapath",,http://cardiocarebd.com/,
Siamak Pet Clinic,4.1,21,Hospital,House-56 Road-9/B,No,,
A.R.S,2,,Hospital,8 Road-04,,,
Singapore hospital dhaka bangladesh office / ferrar park hospital / NUH hospital and more,1,1,Medical Center,"house 12, 13 Road-18",,,
Sunayana,3,2,Hospital,23 Sonargaon Janapath,No,,
Conejo's House,2.5,,Hospital,V97M+W46,,,
Dr. Khurshid Jahan,,,Medical Center,20 Rd 13,No,,
সবুজ বাংলা জেনারেল হাসপাতাল (প্রাঃ),,,Hospital,"V9RM+HPG, Road",,,
Paedihope Hospital For Sick Children,2.5,2,Children's hospital,32A Road-6,No,,
JAHAN ARA CLINIC LTD.,,,Hospital,"1, Dhaka",Yes,http://www.jahanaraclinic.com/,
Gowal Teak Physiotherapy Centre,5,2,Hospital,"Salma Market , Gowal Teak Arafah School Road, uttara Alaol Ave",,,
Meccaa Medina General Hospital,5,2,General hospital,"Block-B, 21/14 Babar roadhaka",Yes,,
যক্ষা নিয়ন্ত্রণ ও প্রশিক্ষণ প্রতিষ্ঠান,,,Hospital,"VCC3+5GW, Isakha Ave",No,,
"MediScan Online Xray,CT Scan,MRI Reporting Service Uttora Office",5,1,Hospital,V9GH+5RH,,http://www.mediscanbd.com/,
National Eye Hospital,3,2,Hospital,7 Road-27,,,
Diganta Hospital Project.,5,1,Hospital,"V9FP+PHP, Sonargaon Janapath",,,
HHRIDS,4.5,2,Hospital,"V9CX+X8Q, Road-32",,http://www.hhrids.com/,
Kuwait Bangladesh Friendship Government Hospital.,,,Hospital,V9GH+8QG,,,
Nahar Skin & Dental Care,5,1,Hospital,"Road 5,House 25",No,,
Hasna Hena Pain and Physiotherapy Research Center (HPRC),4.5,8,Hospital,"House no- 07, Shayesta Khan Ave",No,https://hasna-hena-pain-and-physiotherapy-research-center-hprc.business.site/?utm_source=gmb&utm_medium=referral,
"Popular Diagnostic Centre, Unit 1, Uttara",3.6,51,Doctor,"H-21, H-21 Road-7",No,https://www.populardiagnostic.com/,"""Good"
Md Jahir Uddin Akanda,,,Hospital,14 Rd -16,,,
Dakhin Khan Paribaric Shastha Seba Hospital (Pvt.),4.3,11,Hospital,"2620, Tamij Uddin Road, Noyapara, Amtola, Dakshin Khan, Uttara",Yes,,
Dr. Sharif's Homeopathic Center,5,2,Medical Center,"House # 19 (Ground Floor, Rd -19",No,,
CREDIT DIABETES & CARDIAC CENTER,5,2,Hospital,"VCC3+CQ7, Isakha Ave",,,
KB Diagnostics Center,,,Hospital,"Road#16, Khairtek, Turag",Yes,,
Labking general hospital,,,Hospital,V9RM+JP3,,,
"Bangladesh Eye Hospital, Uttara",4.2,59,Eye care center,"House No: 27, 1230 Sonargaon Janapath",No,http://uttara.bdeyehospital.com/,"""The hospital has a serene environment."""
FERA Narcotics Medicare,,,Hospital,V9JQ+339,,,
East west medical college hospital,,,Hospital,V9QM+M6W,,,
